Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.772,2.664,0.109,2.24,2.066,1.863,0.63
SWCF global ceres_ebaf_toa_v4.1,W m-2,-41.837,-42.472,0.636,21.839,21.838,14.906,0.767
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.183,26.071,-1.888,10.698,11.608,8.216,0.746
PSL global ERA-Interim,mbar,1011.268,1011.337,-0.069,8.797,8.029,1.821,0.981
PSL global ERA5,mbar,1011.268,1011.413,-0.146,8.797,7.99,1.921,0.979
TREFHT land ERA-Interim,DegC,8.332,8.596,-0.264,19.289,20.255,2.091,0.995
TREFHT global ERA-Interim,DegC,14.791,14.365,0.426,14.746,15.023,2.089,0.991
TREFHT land ERA5,DegC,8.332,8.653,-0.322,19.289,20.246,2.35,0.994
TREFHT global ERA5,DegC,14.791,14.242,0.549,14.746,14.914,2.188,0.99
