Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
OMEGA-500mb global MERRA2,mbar/day,-0.012,999.999,999.999,19.012,999.999,999.999,999.999
OMEGA-850mb global MERRA2,mbar/day,-0.421,999.999,999.999,25.637,999.999,999.999,999.999
T-850mb global MERRA2,K,281.434,999.999,999.999,9.994,999.999,999.999,999.999
T-200mb global MERRA2,K,219.772,999.999,999.999,2.618,999.999,999.999,999.999
TAUXY ocean MERRA2,N/m^2,0.069,999.999,999.999,0.053,999.999,999.999,999.999
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,48.266,999.999,999.999,19.981,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,22.95,999.999,999.999,8.453,999.999,999.999,999.999
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,25.316,999.999,999.999,13.3,999.999,999.999,999.999
CLDTOT_TAU1.3_MISR global MISRCOSP,%,48.263,999.999,999.999,19.988,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,22.948,999.999,999.999,8.457,999.999,999.999,999.999
CLDTOT_TAU9.4_MISR global MISRCOSP,%,25.315,999.999,999.999,13.303,999.999,999.999,999.999
CLDLOW_TAU1.3_MISR global MISRCOSP,%,29.176,999.999,999.999,20.016,999.999,999.999,999.999
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,15.126,999.999,999.999,10.313,999.999,999.999,999.999
CLDLOW_TAU9.4_MISR global MISRCOSP,%,14.049,999.999,999.999,10.506,999.999,999.999,999.999
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,47.053,999.999,999.999,19.697,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,22.069,999.999,999.999,8.136,999.999,999.999,999.999
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,24.984,999.999,999.999,13.323,999.999,999.999,999.999
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,14.82,999.999,999.999,8.863,999.999,999.999,999.999
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,6.536,999.999,999.999,4.11,999.999,999.999,999.999
