Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
OMEGA-500mb global MERRA2,mbar/day,0.026,999.999,999.999,18.952,999.999,999.999,999.999
OMEGA-850mb global MERRA2,mbar/day,-0.5,999.999,999.999,26.234,999.999,999.999,999.999
T-850mb global MERRA2,K,280.998,999.999,999.999,9.544,999.999,999.999,999.999
T-200mb global MERRA2,K,219.241,999.999,999.999,2.543,999.999,999.999,999.999
TAUXY ocean MERRA2,N/m^2,0.068,999.999,999.999,0.05,999.999,999.999,999.999
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,43.097,999.999,999.999,19.498,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,17.54,999.999,999.999,8.886,999.999,999.999,999.999
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,25.556,999.999,999.999,12.876,999.999,999.999,999.999
CLDTOT_TAU1.3_MISR global MISRCOSP,%,43.093,999.999,999.999,19.506,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,17.539,999.999,999.999,8.889,999.999,999.999,999.999
CLDTOT_TAU9.4_MISR global MISRCOSP,%,25.554,999.999,999.999,12.881,999.999,999.999,999.999
CLDLOW_TAU1.3_MISR global MISRCOSP,%,22.331,999.999,999.999,17.777,999.999,999.999,999.999
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,10.36,999.999,999.999,9.426,999.999,999.999,999.999
CLDLOW_TAU9.4_MISR global MISRCOSP,%,11.971,999.999,999.999,9.246,999.999,999.999,999.999
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,40.407,999.999,999.999,19.514,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,16.687,999.999,999.999,8.607,999.999,999.999,999.999
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,23.72,999.999,999.999,12.896,999.999,999.999,999.999
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,14.703,999.999,999.999,9.168,999.999,999.999,999.999
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,5.762,999.999,999.999,3.506,999.999,999.999,999.999
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,8.941,999.999,999.999,6.214,999.999,999.999,999.999
CLDTOT_CAL global CALIPSOCOSP,%,60.801,999.999,999.999,17.624,999.999,999.999,999.999
CLDLOW_CAL global CALIPSOCOSP,%,26.175,999.999,999.999,19.762,999.999,999.999,999.999
CLDMED_CAL global CALIPSOCOSP,%,13.792,999.999,999.999,8.956,999.999,999.999,999.999
CLDHGH_CAL global CALIPSOCOSP,%,37.778,999.999,999.999,15.5,999.999,999.999,999.999
TGCLDLWP_OCN global SSMI,g/m^2,157.025,999.999,999.999,71.057,999.999,999.999,999.999
AODVIS global MACv2,dimensionless,0.166,999.999,999.999,0.09,999.999,999.999,999.999
AODVIS global MERRA2_Aerosols,dimensionless,0.166,999.999,999.999,0.09,999.999,999.999,999.999
AODDUST global MACv2,dimensionless,0.026,999.999,999.999,0.052,999.999,999.999,999.999
TREFHT global ERA5,DegC,14.392,14.243,0.149,14.077,14.107,1.324,0.996
TREFHT land ERA5,DegC,8.448,8.901,-0.453,18.624,18.824,1.993,0.995
TREFHT global MERRA2,DegC,14.392,999.999,999.999,14.077,999.999,999.999,999.999
TREFHT land MERRA2,DegC,8.448,999.999,999.999,18.624,999.999,999.999,999.999
TREFMNAV global MERRA2,DegC,12.645,999.999,999.999,14.634,999.999,999.999,999.999
TREFMXAV global MERRA2,DegC,16.248,999.999,999.999,13.845,999.999,999.999,999.999
